Annotated Topic,word,n,tf,idf,tf_idf
Administration,mamdani,187,0.016191878084682657,1.0986122886681098,0.017788596240448224
Administration,mayor,101,0.008745346,0.6931471805599453,0.006061812
Administration,zohran,89,0.007706295,0.6931471805599453,0.005341597
Administration,elect,87,0.00753312,0.6931471805599453,0.005221561
Administration,greene,51,0.004415967,1.0986122886681098,0.004851435
Administration,meeting,94,0.008139233,0.4054651081081644,0.003300175
Administration,taylor,32,0.002770803,1.0986122886681098,0.003044038
Administration,reporter,27,0.002337865,1.0986122886681098,0.002568407
Administration,common,16,0.001385401,1.791759469228055,0.002482306
Administration,piggy,16,0.001385401,1.791759469228055,0.002482306
Economic,coffee,12,0.005589194,1.791759469228055,0.010014491677101379
Economic,mamdani,17,0.007918025,1.0986122886681098,0.00869884
Economic,tariff,15,0.006986493,1.0986122886681098,0.007675447
Economic,tariffs,23,0.010712622263623661,0.6931471805599453,0.007425424
Economic,brazilian,8,0.003726129,1.791759469228055,0.006676328
Economic,checks,7,0.003260363,1.791759469228055,0.005841787
Economic,rising,7,0.003260363,1.791759469228055,0.005841787
Economic,beef,6,0.002794597,1.791759469228055,0.005007246
Economic,inflation,6,0.002794597,1.791759469228055,0.005007246
Economic,"2,000",5,0.002328831,1.791759469228055,0.004172705
Economic,dividend,5,0.002328831,1.791759469228055,0.004172705
Electoral Politics,swalwell,7,0.004817619,1.0986122886681098,0.005292695
Electoral Politics,appointees,4,0.002752925,1.791759469228055,0.004932579
Electoral Politics,maps,4,0.002752925,1.791759469228055,0.004932579
Electoral Politics,2016,5,0.003441156,1.0986122886681098,0.003780497
Electoral Politics,grazer,3,0.002064694,1.791759469228055,0.003699435
Electoral Politics,redistricting,7,0.004817619,0.6931471805599453,0.003339319
Electoral Politics,elections,11,0.007570544,0.4054651081081644,0.003069591
Electoral Politics,exclusive,4,0.002752925,1.0986122886681098,0.003024397
Electoral Politics,partys,4,0.002752925,1.0986122886681098,0.003024397
Electoral Politics,seats,4,0.002752925,1.0986122886681098,0.003024397
Foreign Relations,prince,31,0.006167927,1.0986122886681098,0.00677616
Foreign Relations,africa,19,0.003780342,1.791759469228055,0.006773464
Foreign Relations,khashoggi,19,0.003780342,1.791759469228055,0.006773464
Foreign Relations,saudi,45,0.008953442,0.6931471805599453,0.006206053
Foreign Relations,venezuela,15,0.002984481,1.791759469228055,0.005347472
Foreign Relations,crown,23,0.004576204,1.0986122886681098,0.005027474
Foreign Relations,ukraine,62,0.012335853561480302,0.4054651081081644,0.005001758
Foreign Relations,g20,13,0.00258655,1.791759469228055,0.004634475
Foreign Relations,maduro,13,0.00258655,1.791759469228055,0.004634475
Foreign Relations,zelenskyy,20,0.003979308,1.0986122886681098,0.004371716
Immigration Policy,minnesota,6,0.005964215,1.791759469228055,0.010686438186250825
Immigration Policy,immigration,14,0.013916500994035786,0.6931471805599453,0.009646183
Immigration Policy,arrests,5,0.004970179,1.791759469228055,0.008905365
Immigration Policy,migrants,5,0.004970179,1.791759469228055,0.008905365
Immigration Policy,border,4,0.003976143,1.791759469228055,0.007124292
Immigration Policy,somali,4,0.003976143,1.791759469228055,0.007124292
Immigration Policy,asylum,3,0.002982107,1.791759469228055,0.005343219
Immigration Policy,protections,3,0.002982107,1.791759469228055,0.005343219
Immigration Policy,somalis,3,0.002982107,1.791759469228055,0.005343219
Immigration Policy,terminating,3,0.002982107,1.791759469228055,0.005343219
Immigration Policy,terrorists,3,0.002982107,1.791759469228055,0.005343219
Legal Issues,epstein,67,0.02293735,0.6931471805599453,0.01589896
Legal Issues,files,54,0.018486819582334817,0.6931471805599453,0.012814086871015764
Legal Issues,jeffrey,34,0.011639849366655255,1.0986122886681098,0.012787681552453179
Legal Issues,sex,18,0.006162273,1.0986122886681098,0.006769949
Legal Issues,epsteins,9,0.003081137,1.791759469228055,0.005520656
Legal Issues,release,35,0.011982197877439232,0.4054651081081644,0.004858363
Legal Issues,bill,31,0.010612803834303321,0.4054651081081644,0.004303122
Legal Issues,citizenship,7,0.00239644,1.791759469228055,0.004293843
Legal Issues,james,7,0.00239644,1.791759469228055,0.004293843
Legal Issues,fbi,11,0.003765834,1.0986122886681098,0.004137191
